domain,name,iteration,size,span,ns,us
dotnet3,ManagedStatic,0,10,00:00:00.0000524,5240,5.24
dotnet3,ManagedVirtual,0,10,00:00:00.0000619,6190,6.19
dotnet3,DllImportDirect,0,10,00:00:00.0002989,29890,29.89
dotnet3,DllImportCustomMarshaller,0,10,00:00:00.0006771,67710,67.71000000000001
dotnet3,ManagedStatic,0,20,00:00:00.0000002,10,0.01
dotnet3,ManagedVirtual,0,20,00:00:00.0000002,10,0.01
dotnet3,DllImportDirect,0,20,00:00:00.0000022,110,0.11
dotnet3,DllImportCustomMarshaller,0,20,00:00:00.0000086,430,0.43
dotnet3,ManagedStatic,0,40,00:00:00.0000003,7.500000000000001,0.0075000000000000015
dotnet3,ManagedVirtual,0,40,00:00:00.0000003,7.500000000000001,0.0075000000000000015
dotnet3,DllImportDirect,0,40,00:00:00.0000030,75,0.07500000000000001
dotnet3,DllImportCustomMarshaller,0,40,00:00:00.0000169,422.5,0.42250000000000004
dotnet3,ManagedStatic,0,80,00:00:00.0000004,5,0.005
dotnet3,ManagedVirtual,0,80,00:00:00.0000005,6.25,0.00625
dotnet3,DllImportDirect,0,80,00:00:00.0000055,68.75,0.06875
dotnet3,DllImportCustomMarshaller,0,80,00:00:00.0000351,438.75,0.43875000000000003
dotnet3,ManagedStatic,0,160,00:00:00.0000008,5,0.005
dotnet3,ManagedVirtual,0,160,00:00:00.0000010,6.25,0.00625
dotnet3,DllImportDirect,0,160,00:00:00.0000107,66.87500000000001,0.06687500000000002
dotnet3,DllImportCustomMarshaller,0,160,00:00:00.0000713,445.625,0.445625
dotnet3,ManagedStatic,0,320,00:00:00.0000018,5.625,0.005625000000000001
dotnet3,ManagedVirtual,0,320,00:00:00.0000020,6.25,0.00625
dotnet3,DllImportDirect,0,320,00:00:00.0000212,66.25,0.06625
dotnet3,DllImportCustomMarshaller,0,320,00:00:00.0001393,435.31250000000006,0.43531250000000005
dotnet3,ManagedStatic,0,640,00:00:00.0000032,5,0.005
dotnet3,ManagedVirtual,0,640,00:00:00.0000040,6.25,0.00625
dotnet3,DllImportDirect,0,640,00:00:00.0000439,68.59375,0.06859375
dotnet3,DllImportCustomMarshaller,0,640,00:00:00.0002723,425.46874999999994,0.42546874999999995
dotnet3,ManagedStatic,0,1280,00:00:00.0000065,5.078125000000001,0.005078125000000001
dotnet3,ManagedVirtual,0,1280,00:00:00.0000079,6.171875000000001,0.006171875000000001
dotnet3,DllImportDirect,0,1280,00:00:00.0000854,66.71875,0.06671875000000001
dotnet3,DllImportCustomMarshaller,0,1280,00:00:00.0005451,425.859375,0.42585937500000004
dotnet3,ManagedStatic,0,2560,00:00:00.0000129,5.0390625,0.005039062499999999
dotnet3,ManagedVirtual,0,2560,00:00:00.0000160,6.25,0.00625
