domain,name,iteration,size,span,ns,us
mono,ManagedStatic,0,10,00:00:00.0000551,5510,5.51
mono,ManagedVirtual,0,10,00:00:00.0000375,3750,3.75
mono,DllImportDirect,0,10,00:00:00.0001093,10930,10.93
mono,DllImportCustomMarshaller,0,10,00:00:00.0071378,1413780,1413.78
mono,ManagedStatic,0,20,00:00:00.0000002,10,0.01
mono,ManagedVirtual,0,20,00:00:00.0000002,10,0.01
mono,DllImportDirect,0,20,00:00:00.0000058,290,0.29
mono,DllImportCustomMarshaller,0,20,00:00:00.0000092,460,0.46
mono,ManagedStatic,0,40,00:00:00.0000001,2.5,0.0025
mono,ManagedVirtual,0,40,00:00:00.0000003,7.5,0.0075
mono,DllImportDirect,0,40,00:00:00.0000088,220,0.22
mono,DllImportCustomMarshaller,0,40,00:00:00.0000176,440,0.44
mono,ManagedStatic,0,80,00:00:00.0000003,3.75,0.00375
mono,ManagedVirtual,0,80,00:00:00.0000004,5,0.005
mono,DllImportDirect,0,80,00:00:00.0000174,217.5,0.2175
mono,DllImportCustomMarshaller,0,80,00:00:00.0000349,436.25,0.43625
mono,ManagedStatic,0,160,00:00:00.0000005,3.125,0.003125
mono,ManagedVirtual,0,160,00:00:00.0000008,5,0.005
mono,DllImportDirect,0,160,00:00:00.0000345,215.625,0.215625
mono,DllImportCustomMarshaller,0,160,00:00:00.0000917,573.125,0.573125
mono,ManagedStatic,0,320,00:00:00.0000009,2.8125,0.0028125
mono,ManagedVirtual,0,320,00:00:00.0000016,5,0.005
mono,DllImportDirect,0,320,00:00:00.0000725,226.5625,0.2265625
mono,DllImportCustomMarshaller,0,320,00:00:00.0001476,461.25,0.46125
mono,ManagedStatic,0,640,00:00:00.0000017,2.65625,0.00265625
mono,ManagedVirtual,0,640,00:00:00.0000031,4.84375,0.00484375
mono,DllImportDirect,0,640,00:00:00.0001816,283.75,0.28375
mono,DllImportCustomMarshaller,0,640,00:00:00.0002940,459.375,0.459375
mono,ManagedStatic,0,1280,00:00:00.0000033,2.578125,0.002578125
mono,ManagedVirtual,0,1280,00:00:00.0000062,4.84375,0.00484375
mono,DllImportDirect,0,1280,00:00:00.0002906,227.03125,0.22703125
mono,DllImportCustomMarshaller,0,1280,00:00:00.0005862,457.96875,0.45796875
mono,ManagedStatic,0,2560,00:00:00.0000065,2.5390625,0.0025390625
mono,ManagedVirtual,0,2560,00:00:00.0000122,4.765625,0.004765625
mono,DllImportDirect,0,2560,00:00:00.0007052,275.46875,0.27546875
mono,DllImportCustomMarshaller,0,2560,00:00:00.0011886,854.921875,0.854921875
mono,ManagedStatic,0,5120,00:00:00.0000129,2.51953125,0.00251953125
mono,ManagedVirtual,0,5120,00:00:00.0000244,4.765625,0.004765625
mono,DllImportDirect,0,5120,00:00:00.0011549,420.87890625,0.42087890625
mono,DllImportCustomMarshaller,0,5120,00:00:00.0023632,852.1875,0.8521875
